Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675747592,106.365,0.866,0.084,1.007,0.911,0.081,4.94,0.181,4.312,3.589,0.176,8.535,8.001,12.152,6.373,7.932,18.807,19.744,21.357,15.885,19.023
3675747593,106.325,0.837,0.083,1.007,0.889,0.083,4.82,0.184,3.889,4.023,0.175,8.441,7.397,11.987,5.978,7.745,17.211,17.844,21.065,13.465,19.018
3675747594,106.878,0.819,0.084,1.019,0.892,0.08,4.732,0.176,4.697,3.557,0.171,8.597,8.428,12.035,6.043,7.401,18.317,20.692,21.591,13.88,17.878
3675747595,106.267,0.568,0.082,0.968,0.795,0.081,2.444,0.175,4.401,3.424,0.171,8.44,8.134,12.028,5.935,7.214,16.672,19.729,21.076,13.518,17.199
3675747596,106.5,0.551,0.084,0.986,0.802,0.081,2.188,0.183,3.693,3.361,0.173,8.786,7.621,11.595,5.809,7.978,16.311,19.334,20.638,13.54,19.827
3675747597,106.792,0.516,0.082,0.966,0.781,0.081,2.311,0.174,3.84,3.017,0.173,9.278,7.832,11.53,5.812,7.292,17.279,20.045,20.211,13.076,19.721
3675747598,106.148,0.51,0.083,0.982,0.79,0.081,1.908,0.182,4.666,3.106,0.177,8.931,8.139,11.733,5.915,8.011,16.218,19.877,20.462,13.335,19.842
3675747599,106.131,0.511,0.083,0.976,0.798,0.082,1.919,0.175,4.174,3.453,0.18,9.104,7.4,11.862,5.928,7.93,16.306,19.959,21.046,13.475,20.351
3675747600,106.557,0.525,0.082,0.972,0.777,0.081,2.351,0.172,3.692,3.184,0.173,9.291,7.488,11.841,5.892,7.637,16.567,18.257,20.456,12.388,17.917
3675747601,106.622,0.537,0.082,0.98,0.815,0.082,1.975,0.175,3.73,3.118,0.176,9.336,8.033,11.807,5.955,6.881,17.018,17.756,20.286,14.094,16.912
3675747602,106.401,0.54,0.082,0.977,0.8,0.081,2.095,0.173,3.967,3.171,0.167,9.211,7.343,11.858,6.064,7.886,17.085,18.552,21.795,14.406,18.466
3675747603,106.802,0.937,0.083,1.102,0.895,0.081,4.485,0.179,4.524,4.592,0.175,9.015,7.967,12.082,6.05,7.078,19.13,19.078,21.049,13.327,19.567
3675747604,107.217,0.756,0.084,1.024,0.869,0.081,4.067,0.184,3.918,4.145,0.173,9.033,7.571,12.235,6.101,7.785,18.409,17.788,22.465,13.104,18.936
3675747605,106.177,0.783,0.084,1.037,0.868,0.081,5.066,0.175,3.821,4.015,0.176,8.574,7.721,12.414,6.181,7.239,18.614,17.418,21.88,13.563,17.174
3675747606,106.288,0.79,0.084,1.045,0.858,0.081,4.224,0.176,4.52,3.801,0.17,8.536,7.416,12.157,6.096,8.212,19.89,17.346,22.764,15.407,19.327
3675747607,106.203,0.669,0.084,0.986,0.85,0.082,2.834,0.179,4.194,3.45,0.175,8.368,7.908,12.037,6.071,6.659,16.586,19.577,20.48,14.076,15.802
3675747608,106.316,0.603,0.083,0.963,0.826,0.081,2.305,0.175,3.862,3.374,0.18,8.734,7.788,11.709,5.862,8.094,17.908,19.449,20.653,13.153,20.437
3675747609,106.632,0.524,0.082,0.97,0.779,0.082,1.894,0.17,3.836,3.217,0.176,9.195,7.329,11.469,5.796,7.013,16.131,17.986,20.554,12.505,17.45
3675747610,106.861,0.513,0.083,0.954,0.773,0.081,1.755,0.179,3.747,3.588,0.182,9.287,7.494,11.571,5.829,8.618,17.143,16.732,20.959,12.313,20.192
3675747611,106.352,0.511,0.084,0.974,0.818,0.082,2.01,0.182,3.784,3.67,0.173,9.137,8.722,11.963,5.945,7.85,16.571,20.087,21.279,13.194,20.308
3675747612,106.616,0.524,0.084,0.93,0.763,0.081,1.848,0.174,4.452,3.247,0.176,9.282,7.62,11.881,5.973,7.862,16.809,20.347,21.469,14.245,18.772
3675747613,106.274,0.543,0.082,0.974,0.828,0.082,2.136,0.179,3.988,3.348,0.17,9.199,8.045,11.743,5.911,7.518,16.168,19.381,20.353,13.004,17.039
3675747614,106.704,0.6,0.084,0.974,0.797,0.08,2.318,0.175,3.97,3.085,0.177,9.125,7.561,11.804,5.882,7.452,16.892,19.208,21.002,13.292,17.934
3675747615,107.246,0.974,0.083,1.035,0.905,0.082,6.2,0.173,4.113,3.934,0.178,9.133,8.04,11.838,6.002,7.827,21.375,17.985,24.102,15.131,18.361
3675747616,107.368,0.663,0.083,0.988,0.856,0.081,3.485,0.172,3.913,3.686,0.177,8.938,7.157,12.039,6.073,8.046,19.013,19.596,22.036,15.373,19.502
3675747617,106.505,0.694,0.084,1.059,0.85,0.082,3.706,0.179,4.536,3.691,0.171,8.636,8.062,12.151,6.185,7.368,17.354,19.068,20.839,14.765,18.309
3675747618,107.346,0.827,0.083,1.058,0.914,0.08,4.535,0.175,3.864,4.296,0.172,8.851,7.38,12.064,6.1,7.537,17.776,18.019,21.66,15.45,17.516
3675747619,106.234,0.554,0.082,0.957,0.797,0.082,2.237,0.176,4.236,3.377,0.175,8.571,7.905,12.157,5.971,7.621,16.566,19.406,20.936,12.752,17.651
3675747620,106.608,0.554,0.083,0.964,0.812,0.081,2.058,0.173,3.941,3.839,0.177,8.787,7.381,11.738,5.864,7.585,16.459,17.876,20.244,13.417,20.231
3675747621,106.63,0.556,0.083,0.985,0.814,0.082,2.022,0.18,3.553,3.832,0.179,8.918,7.596,11.625,5.773,8.08,16.869,19.305,20.301,12.597,18.234
3675747622,106.859,0.526,0.084,0.976,0.802,0.08,1.871,0.176,4.16,3.195,0.168,9.075,7.829,11.503,5.766,7.319,16.753,19.045,21.222,13.646,18.619
3675747623,106.885,0.513,0.082,0.932,0.786,0.081,1.885,0.178,4.03,3.671,0.173,9.248,8.428,11.57,5.871,8.072,16.978,19.857,19.647,13.172,19.031
3675747624,106.662,0.53,0.084,0.975,0.801,0.081,1.968,0.174,3.614,3.378,0.166,9.039,6.841,11.791,5.944,7.239,16.012,18.065,20.652,13.81,17.125
3675747625,106.678,0.565,0.082,0.999,0.821,0.082,2.445,0.176,4.146,3.357,0.174,8.892,7.489,11.685,5.868,8.365,16.881,17.213,21.07,13.124,18.643
3675747626,106.572,0.529,0.083,0.983,0.797,0.081,1.929,0.188,3.875,3.268,0.178,9.154,7.773,11.655,5.817,7.493,17.085,18.719,20.999,12.95,19.437
3675747627,106.508,0.523,0.083,0.986,0.809,0.081,2.038,0.173,4.473,3.362,0.172,9.285,8.241,11.659,5.877,8.059,16.822,19.199,20.163,12.928,18.891
3675747628,106.488,0.526,0.083,0.962,0.816,0.081,1.997,0.173,3.774,3.766,0.181,9.097,7.333,11.911,5.905,7.331,17.172,20.034,20.764,13.123,17.867
3675747629,106.488,0.521,0.082,0.935,0.788,0.083,1.962,0.173,4.048,3.316,0.183,9.115,8.149,11.813,5.909,8.792,17.942,19.072,21.242,13.581,21.196
3675747630,106.729,0.875,0.082,1.015,0.911,0.081,5.041,0.17,4.314,4.05,0.176,8.932,6.995,11.989,6.171,6.762,17.858,17.87,21.51,17.627,17.972
3675747631,106.956,0.772,0.082,1.032,0.867,0.081,4.864,0.17,4.004,4.175,0.178,8.764,7.995,12.386,6.157,7.872,18.712,17.581,21.756,13.921,17.548
3675747632,105.899,0.82,0.083,1.013,0.867,0.082,4.823,0.178,4.042,3.757,0.174,8.311,7.23,12.221,6.07,7.368,16.856,18.894,21.711,14.112,18.027
3675747633,107,0.751,0.084,1.044,0.875,0.081,4.307,0.179,3.911,3.693,0.173,8.803,8.073,12.269,6.148,8.023,18.636,19.185,21.56,13.684,18.284
3675747634,106.141,0.588,0.082,0.994,0.82,0.082,2.815,0.175,3.904,3.353,0.175,8.601,7.017,12.033,6.04,7.575,16.228,18.309,20.614,14.845,18.915
3675747635,107.234,0.992,0.084,1.088,0.936,0.081,4.592,0.177,4.362,3.764,0.171,8.887,8.356,11.781,5.963,7.82,22.258,18.765,21.29,14.506,18.177
